District_ID,District,Province,Severity,Casualties,Affected_population,HH_affected,Water_access_population,Water_source_current,Water_availability,Water_quantity,Water_quality,Water_safety,Key_problems,Immediate_intervention,Medium_term_intervention,Long_term_intervention,Estimated_funding_USD,Severity_reason,UNICEF_support,Partner_support,Data_source,Last_updated,Data_status
NPL_RAS,Rasuwa,Bagmati,Severe,42,5000,950,2800,Temporary tankers / unprotected spring,Inadequate,Inadequate,Inadequate,Critical,Main gravity water supply scheme destroyed at epicentre; households rely on unsafe temporary sources.,Emergency water trucking + chlorination of remaining sources,Rehabilitate damaged scheme intake and pipeline,Climate-resilient reconstruction of scheme with flood protection,350000,Flood epicentre (Rasuwagadhi/Timure); highest casualties and population without safe water among all districts.,"WASH cluster lead, water trucking, hygiene kits",Nepal Red Cross (local distribution),DWSSM rapid assessment,2026-08-28,Verified
NPL_NUW,Nuwakot,Bagmati,Very High,15,4200,780,2100,River intake (damaged) / hand pumps,Inadequate,Inadequate,Adequate,Critical,Downstream flood corridor damaged multiple intakes and distribution lines.,Distribute household water treatment and jerry cans,Repair damaged intake structures,Upgrade scheme resilience along flood corridor,210000,Directly on Trishuli flood corridor; multiple scheme intakes damaged.,Water treatment supplies,Local WASH partner,DWSSM rapid assessment,2026-08-28,Verified
NPL_DHA,Dhading,Bagmati,Very High,9,3800,700,1900,Piped scheme (partially damaged),Inadequate,Adequate,Adequate,Inadequate,Partial damage to distribution network; some communities cut off from supply.,Temporary bladder tanks at cut-off communities,Repair distribution network,Scheme rehabilitation with flood-resistant design,180000,On flood corridor; partial network damage and access disruption.,Bladder tanks,Local WASH partner,DWSSM rapid assessment,2026-08-28,Verified
NPL_CHI,Chitwan,Bagmati,Very High,6,6100,1150,3200,Piped scheme / river intake,Inadequate,Adequate,Inadequate,Inadequate,Downstream flooding affected intake and increased turbidity/contamination risk.,Household water treatment + water quality monitoring,Repair intake and sedimentation works,Long-term flood protection for intake structure,240000,Downstream terminus of flood corridor; largest affected population among Very High districts.,Water quality testing kits,Nepal Red Cross,DWSSM rapid assessment,2026-08-28,Verified
NPL_GOR,Gorkha,Gandaki,High,2,2400,430,1500,Spring / gravity scheme,Adequate,Adequate,Inadequate,Inadequate,Landslide-triggered turbidity in upper watershed sources.,Point-of-use water treatment,Spring protection works,Watershed protection and scheme upgrade,90000,Upper-watershed district; indirect impact via landslide/turbidity rather than direct inundation.,Water treatment supplies,Local WASH partner,DWSSM rapid assessment,2026-08-28,Draft
NPL_NAW,Nawalparasi,Lumbini,High,1,2100,390,1300,Piped scheme,Adequate,Adequate,Adequate,Inadequate,Minor scheme disruption from upstream flood flow.,Monitor water quality,Minor repairs to distribution line,No major intervention planned,25000,Downstream secondary impact; limited direct damage reported so far.,Monitoring support,Local WASH partner,DWSSM rapid assessment,2026-08-28,Draft
NPL_TAN,Tanahun,Gandaki,Moderate,0,600,110,500,Piped scheme,Adequate,Adequate,Adequate,Adequate,Minor localised flooding; no significant WASH disruption reported.,None required at this time,Routine monitoring,None planned,0,Peripheral to flood corridor; minimal reported impact.,None,None,DWSSM rapid assessment,2026-08-28,Draft
NPL_SIN,Sindhupalchok,Bagmati,No Data,,,,,,,,,,Assessment pending.,,,,,Not yet assessed for this flood event.,,,,,Draft
NPL_KTM,Kathmandu,Bagmati,No Data,0,0,0,0,,Adequate,Adequate,Adequate,,Not flooded — no WASH impact from this event.,,,,0,Not flooded (confirmed).,,,DWSSM rapid assessment,2026-08-28,Verified
NPL_BHK,Bhaktapur,Bagmati,No Data,,,,,,,,,,Assessment pending.,,,,,Not yet assessed for this flood event.,,,,,Draft
NPL_LAL,Lalitpur,Bagmati,No Data,,,,,,,,,,Assessment pending.,,,,,Not yet assessed for this flood event.,,,,,Draft
NPL_MAK,Makwanpur,Bagmati,No Data,,,,,,,,,,Assessment pending.,,,,,Not yet assessed for this flood event.,,,,,Draft
NPL_SAR,Sarlahi,Madhesh,No Data,,,,,,,,,,Assessment pending.,,,,,Not yet assessed for this flood event.,,,,,Draft
